"","distribution","n","alpha","p_HP","HP","p_DD","DD","p_PS1","PS1","p_PS2","PS2","greg"
"1","Normal",50,0,"5.4"," 5.1"," 7.3"," 5.5"," 5.6"," 7.7"," 6.3"," 7.6"," 5.0"
"2","Normal",50,0.2,"5.8"," 5.9"," 6.4"," 6.5"," 4.7","10.1"," 4.6","11.0"," 4.1"
"3","Normal",50,0.4,"6.2","11.6"," 7.8","13.5"," 9.6","15.0"," 9.2","17.9"," 9.6"
"4","Normal",50,0.6,"5.7","21.2"," 9.9","23.4","13.5","21.3","13.4","28.0","11.6"
"5","Normal",100,0,"6.1"," 5.2"," 5.7"," 5.4"," 4.5"," 7.9"," 4.4"," 7.7"," 3.8"
"6","Normal",100,0.2,"5.5"," 9.0"," 7.6"," 9.3"," 7.7","11.3"," 7.7","13.7"," 7.3"
"7","Normal",100,0.4,"5.0","18.3","10.6","19.3","14.9","21.3","15.4","28.2","14.3"
"8","Normal",100,0.6,"7.2","41.2","14.2","42.7","26.4","33.9","25.9","49.4","25.4"
"9","Uniform",50,0,"6.5"," 4.4"," 5.8"," 5.2"," 5.3"," 7.9"," 5.7"," 5.1"," 5.7"
"10","Uniform",50,0.2,"5.3"," 5.5"," 6.1"," 5.9"," 4.4"," 9.3"," 4.9"," 9.3"," 4.5"
"11","Uniform",50,0.4,"6.0","11.5"," 8.1","12.9"," 8.8","14.6"," 8.7","19.9"," 7.9"
"12","Uniform",50,0.6,"5.0","18.5"," 9.8","20.1","11.1","19.5","10.9","28.4","10.2"
"13","Uniform",100,0,"4.8"," 4.8"," 6.2"," 5.0"," 3.8"," 6.9"," 3.9"," 5.7"," 3.6"
"14","Uniform",100,0.2,"5.5"," 7.7"," 5.9"," 7.9"," 6.3","10.7"," 6.2","14.2"," 6.1"
"15","Uniform",100,0.4,"5.3","18.6"," 8.7","19.0","13.9","19.4","14.2","28.2","13.4"
"16","Uniform",100,0.6,"5.3","39.7","12.8","40.7","27.1","35.7","27.2","50.6","25.8"
"17","Gamma",50,0,"4.1"," 4.6"," 4.9"," 5.1"," 5.0"," 6.2"," 4.3"," 5.6"," 4.2"
"18","Gamma",50,0.2,"5.6"," 6.5"," 7.2"," 7.4"," 8.0"," 9.0"," 8.3","11.6"," 7.8"
"19","Gamma",50,0.4,"5.1","12.3"," 7.2","14.1","13.7","13.8","13.3","19.3","12.9"
"20","Gamma",50,0.6,"5.7","35.5"," 9.6","38.3","28.1","31.4","28.2","42.8","26.6"
"21","Gamma",100,0,"3.5"," 3.2"," 4.9"," 3.4"," 3.9"," 6.8"," 3.8"," 6.5"," 3.1"
"22","Gamma",100,0.2,"5.1"," 7.4"," 5.8"," 7.9","10.9","11.4","10.3","16.3","10.3"
"23","Gamma",100,0.4,"4.2","30.5"," 9.3","31.4","28.5","25.7","26.8","36.9","26.7"
"24","Gamma",100,0.6,"5.9","70.2","15.5","71.3","58.0","57.8","57.9","73.8","56.5"
"25","t",50,0,"4.6"," 6.0"," 5.1"," 6.6"," 4.9"," 7.9"," 5.4"," 7.0"," 5.1"
"26","t",50,0.2,"4.7"," 6.1"," 5.4"," 6.7"," 4.2"," 9.7"," 3.7"," 8.8"," 4.3"
"27","t",50,0.4,"5.9","10.5"," 8.0","11.5"," 8.0","13.2"," 8.0","15.0"," 7.0"
"28","t",50,0.6,"6.1","21.2","11.6","23.6","12.0","20.8","11.9","28.2","11.6"
"29","t",100,0,"6.0"," 6.5"," 5.6"," 6.8"," 6.2"," 9.2"," 6.8"," 7.6"," 6.2"
"30","t",100,0.2,"5.6"," 8.1"," 8.8"," 8.9"," 5.7","10.2"," 6.4","12.4"," 5.7"
"31","t",100,0.4,"6.2","18.0","10.3","18.4","14.0","17.8","13.2","26.5","12.8"
"32","t",100,0.6,"6.3","38.1","13.2","39.6","25.5","32.4","26.0","47.4","23.8"
