"n","sigma","delta","alpha","DD","HP","PS1","PS2","PS3","pred_mean","coef_mahal"
50,0.2,1,0,0.043,0.04,0.067,0.064,0.024,0.035,0.035
50,0.2,1,0.2,0.1,0.096,0.131,0.142,0.065,0.078,0.077
50,0.2,1,0.4,0.286,0.273,0.262,0.341,0.185,0.217,0.163
50,0.2,1,0.6,0.626,0.612,0.508,0.613,0.458,0.451,0.338
100,0.2,1,0,0.029,0.029,0.063,0.064,0.031,0.026,0.035
100,0.2,1,0.2,0.155,0.15,0.151,0.198,0.103,0.109,0.1
100,0.2,1,0.4,0.591,0.583,0.464,0.583,0.504,0.492,0.364
100,0.2,1,0.6,0.923,0.921,0.844,0.897,0.888,0.837,0.73
150,0.2,1,0,0.046,0.044,0.079,0.066,0.031,0.027,0.037
150,0.2,1,0.2,0.247,0.242,0.206,0.283,0.198,0.203,0.173
150,0.2,1,0.4,0.813,0.812,0.699,0.794,0.74,0.742,0.594
150,0.2,1,0.6,0.991,0.991,0.966,0.986,0.988,0.97,0.922
200,0.2,1,0,0.068,0.067,0.082,0.072,0.053,0.033,0.05
200,0.2,1,0.2,0.296,0.293,0.25,0.336,0.265,0.254,0.202
200,0.2,1,0.4,0.895,0.895,0.829,0.879,0.88,0.862,0.74
200,0.2,1,0.6,0.999,0.999,0.994,0.998,0.997,0.995,0.98
