"","n","sigma","delta","alpha","X","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR","CI"
"1",100,0.1,1,0,1250.5,0.0504,0.1828,0.0464,0.3988,0.488,0.1616,0.0716,0.036,0.0516,0.5216,4e-04
"2",100,0.1,1,0.2,3750.5,0.0716,0.1648,0.0668,0.9672,0.9804,0.2492,0.1112,0.0808,0.0848,0.506,0
"3",100,0.1,1,0.4,6250.5,0.1848,0.1712,0.18,1,1,0.4412,0.2152,0.2112,0.2284,0.5116,0
"4",100,0.1,1,0.6,8750.5,0.3904,0.174,0.3816,1,1,0.6612,0.3872,0.398,0.4348,0.4976,0
"5",100,0.1,1.5,0,11250.5,0.0512,0.1832,0.0488,0.1892,0.2736,0.1556,0.0672,0.0344,0.0472,0.5164,4e-04
"6",100,0.1,1.5,0.2,13750.5,0.0644,0.1748,0.062,0.6436,0.7092,0.2004,0.0848,0.0676,0.0712,0.5224,0
"7",100,0.1,1.5,0.4,16250.5,0.0944,0.1628,0.0904,0.9576,0.9704,0.2732,0.126,0.1044,0.1144,0.5124,0
"8",100,0.1,1.5,0.6,18750.5,0.19,0.1792,0.1824,0.9984,0.9984,0.406,0.208,0.1892,0.21,0.5168,0
"9",100,0.2,1,0,21250.5,0.0512,0.1864,0.0476,0.3912,0.4744,0.1424,0.0676,0.052,0.05,0.5324,8e-04
"10",100,0.2,1,0.2,23750.5,0.1748,0.1712,0.1644,0.9792,0.9856,0.3672,0.1932,0.1808,0.1984,0.5196,0
"11",100,0.2,1,0.4,26250.5,0.608,0.1784,0.5956,1,1,0.7552,0.5524,0.6264,0.6596,0.5152,0
"12",100,0.2,1,0.6,28750.5,0.9352,0.1744,0.9316,1,1,0.968,0.904,0.93,0.938,0.4916,0
"13",100,0.2,1.5,0,31250.5,0.0444,0.1928,0.0432,0.1884,0.2592,0.134,0.0656,0.0368,0.0476,0.5068,0.0012
"14",100,0.2,1.5,0.2,33750.5,0.0988,0.1768,0.094,0.686,0.7396,0.232,0.1148,0.0936,0.1096,0.5068,0
"15",100,0.2,1.5,0.4,36250.5,0.2692,0.1848,0.258,0.9696,0.9776,0.4592,0.2696,0.2828,0.3164,0.512,0
"16",100,0.2,1.5,0.6,38750.5,0.5876,0.1992,0.5768,0.9992,0.9992,0.7476,0.552,0.5948,0.6428,0.524,0
"17",200,0.1,1,0,41250.5,0.0556,0.1896,0.0536,0.74,0.8088,0.1724,0.08,0.0492,0.0504,0.4604,0.0012
"18",200,0.1,1,0.2,43750.5,0.1176,0.1736,0.1144,1,1,0.3344,0.1552,0.1232,0.1348,0.4772,0
"19",200,0.1,1,0.4,46250.5,0.338,0.166,0.3312,1,1,0.6052,0.3288,0.378,0.3992,0.4952,0
"20",200,0.1,1,0.6,48750.5,0.6844,0.1804,0.6808,1,1,0.8748,0.6408,0.7028,0.714,0.478,0
"21",200,0.1,1.5,0,51250.5,0.0588,0.1868,0.0572,0.3612,0.4396,0.1516,0.0736,0.0508,0.0556,0.4536,8e-04
"22",200,0.1,1.5,0.2,53750.5,0.0776,0.1788,0.0764,0.9468,0.9608,0.2312,0.1004,0.0768,0.0856,0.4568,0
"23",200,0.1,1.5,0.4,56250.5,0.1696,0.1688,0.164,0.9996,1,0.384,0.1844,0.188,0.2064,0.4748,0
"24",200,0.1,1.5,0.6,58750.5,0.342,0.176,0.3364,1,1,0.5852,0.3432,0.3704,0.3956,0.4756,0
"25",200,0.2,1,0,61250.5,0.0496,0.1904,0.0484,0.7296,0.7948,0.1668,0.0724,0.056,0.0524,0.4612,4e-04
"26",200,0.2,1,0.2,63750.5,0.3128,0.1616,0.31,0.9996,1,0.5036,0.3088,0.3436,0.3712,0.4824,0
"27",200,0.2,1,0.4,66250.5,0.8944,0.1756,0.8932,1,1,0.944,0.8568,0.9108,0.9172,0.484,0
"28",200,0.2,1,0.6,68750.5,1,0.1848,1,1,1,1,0.9988,0.9984,0.9984,0.4644,0
"29",200,0.2,1.5,0,71250.5,0.0464,0.204,0.0452,0.3372,0.426,0.1588,0.0664,0.0484,0.0516,0.4588,8e-04
"30",200,0.2,1.5,0.2,73750.5,0.1392,0.18,0.1372,0.9408,0.9572,0.3056,0.1632,0.1616,0.1664,0.47,0
"31",200,0.2,1.5,0.4,76250.5,0.5176,0.1864,0.5112,1,1,0.7048,0.502,0.5428,0.5588,0.4704,0
"32",200,0.2,1.5,0.6,78750.5,0.91,0.1884,0.9072,1,1,0.9524,0.8728,0.9008,0.9104,0.4656,0
