"","n","sigma","delta","alpha","X","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR"
"1",100,0.1,1,0,500.5," 4.9","31.1"," 4.6"," 4.1"," 4.5"," 4.5"," 4.6"," 5.2"," 5.0"," 0.1"
"2",100,0.1,1,0.2,1500.5," 8.1","32.8"," 7.4"," 6.9"," 5.3"," 7.8"," 7.4"," 8.1"," 9.2"," 1.2"
"3",100,0.1,1,0.4,2500.5,"17.7","34.0","16.9","13.6","12.4","17.3","16.2","18.7","20.3"," 4.9"
"4",100,0.1,1,0.6,3500.5,"40.0","33.1","39.2","34.9","29.4","39.5","39.2","42.4","44.6","11.6"
"5",100,0.1,1.5,0,4500.5," 5.3","34.4"," 5.1"," 5.0"," 5.1"," 4.4"," 5.2"," 5.4"," 4.5"," 0.8"
"6",100,0.1,1.5,0.2,5500.5," 5.6","34.4"," 4.9"," 5.5"," 4.7"," 7.1"," 5.7"," 5.3"," 5.6"," 2.9"
"7",100,0.1,1.5,0.4,6500.5,"10.2","33.3"," 9.3"," 8.6"," 7.6","11.4","10.2","11.4","12.0"," 8.9"
"8",100,0.1,1.5,0.6,7500.5,"21.6","35.1","20.8","18.9","16.7","20.5","20.0","20.8","22.0","13.5"
"9",100,0.2,1,0,8500.5," 5.0","33.0"," 4.9"," 4.7"," 4.3"," 4.5"," 5.2"," 5.3"," 6.1"," 0.0"
"10",100,0.2,1,0.2,9500.5,"20.1","37.7","19.4","16.1","14.0","20.0","19.7","22.4","23.5"," 1.2"
"11",100,0.2,1,0.4,10500.5,"62.6","33.9","61.3","56.5","49.7","63.3","62.3","62.7","64.0"," 6.8"
"12",100,0.2,1,0.6,11500.5,"94.7","34.7","94.4","93.0","91.2","94.7","94.2","94.4","94.6","16.4"
"13",100,0.2,1.5,0,12500.5," 3.9","35.5"," 3.7"," 5.0"," 4.3"," 4.4"," 3.9"," 4.2"," 4.4"," 1.2"
"14",100,0.2,1.5,0.2,13500.5," 9.5","33.2"," 9.4"," 8.3"," 6.8"," 9.1"," 9.8","10.7","11.5"," 2.5"
"15",100,0.2,1.5,0.4,14500.5,"30.5","34.4","30.0","26.0","23.2","30.4","30.5","33.3","35.0"," 7.4"
"16",100,0.2,1.5,0.6,15500.5,"64.6","33.1","63.6","58.3","50.9","65.0","65.0","65.9","66.4","14.4"
"17",200,0.1,1,0,16500.5," 4.5","36.4"," 4.4"," 3.6"," 3.5"," 4.3"," 4.2"," 4.3"," 4.2"," 0.1"
"18",200,0.1,1,0.2,17500.5,"11.9","34.7","11.5","10.0"," 8.9","11.7","12.5","12.3","12.2"," 4.5"
"19",200,0.1,1,0.4,18500.5,"36.1","33.0","35.4","30.1","26.0","36.9","36.8","39.1","39.0","10.6"
"20",200,0.1,1,0.6,19500.5,"73.0","35.4","72.3","64.9","60.3","73.7","72.8","73.4","74.6","22.8"
"21",200,0.1,1.5,0,20500.5," 5.0","35.5"," 4.9"," 4.7"," 4.5"," 4.8"," 5.4"," 4.4"," 4.3"," 2.5"
"22",200,0.1,1.5,0.2,21500.5," 8.6","32.5"," 8.4"," 6.6"," 6.1"," 8.7"," 8.3"," 9.5"," 9.3"," 7.8"
"23",200,0.1,1.5,0.4,22500.5,"19.2","32.6","18.5","17.1","15.7","18.8","18.2","20.5","20.7","14.5"
"24",200,0.1,1.5,0.6,23500.5,"39.9","30.3","39.1","34.9","30.0","40.0","40.0","40.5","41.8","21.8"
"25",200,0.2,1,0,24500.5," 4.9","33.8"," 4.7"," 4.5"," 4.3"," 5.1"," 5.6"," 3.9"," 4.9"," 0.4"
"26",200,0.2,1,0.2,25500.5,"35.4","36.9","34.9","29.4","25.5","34.4","34.5","38.1","38.2"," 5.6"
"27",200,0.2,1,0.4,26500.5,"93.0","35.3","92.8","90.2","86.8","93.4","94.1","93.7","93.6","13.6"
"28",200,0.2,1,0.6,27500.5,"99.8","34.2","99.8","99.6","99.5","99.8","99.8","99.9","99.9","26.8"
"29",200,0.2,1.5,0,28500.5," 5.6","34.5"," 5.4"," 5.1"," 5.5"," 5.0"," 4.7"," 5.1"," 5.1"," 3.9"
"30",200,0.2,1.5,0.2,29500.5,"16.3","33.2","16.1","14.7","13.8","16.5","16.6","18.0","18.8"," 8.5"
"31",200,0.2,1.5,0.4,30500.5,"57.2","32.7","57.1","51.3","47.2","57.0","57.5","59.8","61.0","17.2"
"32",200,0.2,1.5,0.6,31500.5,"90.0","32.9","89.8","86.8","84.9","90.3","89.9","91.1","91.4","25.6"
