n,a,psi,DD,PN,HP,PSI,PS1q,PS2,PS2q,PS3,WF,LR
100,1.0,0.0,4.3,6.7,4.2,1.5,4.6,4.3,5.0,3.6,4.2,5.5
,,0.1,11.1,9.4,10.9,5.6,10.6,11.4,12.0,6.4,10.0,7.9
,,0.2,33.1,10.5,33.1,14.7,34.8,31.4,38.0,15.2,24.2,22.6
,,0.3,66.7,10.7,66.5,25.9,66.0,51.9,70.2,26.1,42.1,38.3
,0.8,0.0,5.5,7.3,5.3,3.7,4.8,4.7,4.6,5.6,5.4,5.8
,,0.1,13.0,8.8,12.8,12.1,11.8,15.5,12.5,10.9,11.9,11.1
,,0.2,36.7,11.3,36.1,34.9,35.4,42.2,40.9,23.0,33.3,27.6
,,0.3,78.9,16.7,78.8,66.1,76.4,76.6,83.2,48.2,66.7,64.5
,0.5,0.0,6.4,6.7,6.2,4.4,5.1,4.5,4.1,6.1,5.6,6.0
,,0.1,14.5,9.0,14.3,16.7,12.1,17.5,14.2,10.7,14.1,12.7
,,0.2,45.4,12.6,45.1,54.8,42.7,56.9,46.4,36.4,45.4,37.2
,,0.3,86.4,22.0,86.2,90.3,82.0,91.2,87.8,72.7,85.5,75.9
,0.25,0.0,4.5,7.2,4.4,6.1,5.0,6.2,5.4,6.9,4.2,4.8
,,0.1,13.2,8.8,13.1,17.5,11.9,17.8,13.9,11.8,13.6,10.8
,,0.2,50.6,15.7,50.3,60.1,42.6,60.8,48.3,42.7,51.0,41.1
,,0.3,91.0,24.6,90.8,94.1,85.9,94.2,90.5,83.0,91.0,82.6
200,1,0.0,5.0,6.3,4.7,2.4,5.4,5.8,5.1,3.5,4.4,5.9
,,0.1,16.8,9.7,16.7,9.0,15.6,19.6,19.5,10.9,14.6,12.3
,,0.2,61.7,14.0,61.5,31.4,61.2,51.7,66.4,31.2,42.2,39.1
,,0.3,93.7,18.9,93.6,56.1,94.2,81.6,96.3,58.8,73.5,70.6
,0.75,0.0,4.8,7.3,4.8,3.8,5.1,4.6,4.1,7.2,5.9,5.4
,,0.1,19.4,9.6,19.0,20.1,18.4,24.9,20.8,18.2,18.1,15.6
,,0.2,68.4,17.5,68.3,66.5,64.0,72.7,71.0,53.4,63.6,57.0
,,0.3,98.1,29.4,98.1,95.1,97.8,97.8,98.6,88.3,95.2,91.3
,0.5,0.0,6.3,8.3,6.2,5.3,4.4,5.4,5.0,6.3,6.1,6.7
,,0.1,23.8,12.6,23.7,30.4,19.9,31.2,24.0,21.0,24.1,19.3
,,0.2,76.8,22.1,76.8,84.0,72.1,85.0,78.3,69.8,75.4,69.2
,,0.3,99.3,37.4,99.3,99.5,98.6,99.6,99.4,98.0,98.9,97.6
,0.25,0.0,4.7,7.3,4.6,6.6,5.1,6.4,5.3,7.1,5.1,5.8
,,0.1,25.9,10.4,25.7,35.4,22.7,35.0,26.8,26.1,26.3,20.5
,,0.2,83.3,21.6,82.9,89.8,77.7,90.0,82.6,77.1,83.1,75.7
,,0.3,99.4,44.4,99.4,99.6,99.2,99.5,99.4,98.9,99.4,99.1
